着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
3,4,マイネルプロンプト,マツリダゴッホ,コスモクラッベ,せん,7,-6,森一馬,4,坂口智康,障害,芝,4250m,晴,良
4,6,ラピッドシップ,ルーラーシップ,チェンジユアセルフ,牡,5,4,北沢伸也,8,武英智,障害,芝,4250m,晴,良
5,8,タイセイドリーム,ディープインパクト,モアザンベスト,牡,9,-12,平沢健治,3,矢作芳人,障害,芝,4250m,晴,良
6,1,ニホンピロバロン,フサイチリシャール,ニホンピロアニカ,牡,9,0,白浜雄造,2,田所秀孝,障害,芝,4250m,晴,良
7,7,ルペールノエル,アドマイヤムーン,サンタママ,牡,9,-16,高田潤,7,藤原英昭,障害,芝,4250m,晴,良
8,2,ミヤジタイガ,ネオユニヴァース,フローレンスガール,牡,9,-6,西谷誠,5,武幸四郎,障害,芝,4250m,晴,良
9,8,ヤマニンシルフ,ダイワメジャー,ヤマニンカルフール,牡,6,0,小坂忠士,11,山内研二,障害,芝,4250m,晴,良
1,6,サートゥルナーリア,ロードカナロア,シーザリオ,牡,3,-4,C.ルメール,1,角居勝彦,芝,右,2000m,曇,良
2,4,ヴェロックス,ジャスタウェイ,セルキス,牡,3,-4,川田将雅,4,中内田充正,芝,右,2000m,曇,良
3,2,ダノンキングリー,ディープインパクト,マイグッドネス,牡,3,-4,戸崎圭太,3,萩原清,芝,右,2000m,曇,良
4,1,アドマイヤマーズ,ダイワメジャー,ヴィアメディチ,牡,3,-8,M.デムーロ,2,友道康夫,芝,右,2000m,曇,良
5,3,クラージュゲリエ,キングカメハメハ,ジュモー,牡,3,2,横山典弘,14,池江泰寿,芝,右,2000m,曇,良
6,8,タガノディアマンテ,オルフェーヴル,タガノレヴェントン,牡,3,-4,田辺裕信,15,鮫島一歩,芝,右,2000m,曇,良
7,6,ラストドラフト,ノヴェリスト,マルセリーナ,牡,3,0,A.シュタルケ,10,戸田博文,芝,右,2000m,曇,良
8,8,アドマイヤジャスタ,ジャスタウェイ,アドマイヤテレサ,牡,3,0,岩田康誠,11,須貝尚介,芝,右,2000m,曇,良
9,7,ダディーズマインド,トーセンホマレボシ,ケイティーズギフト,牡,3,-4,宮崎北斗,17,青木孝文,芝,右,2000m,曇,良
10,8,ナイママ,ダノンバラード,ニシノマドカ,牡,3,8,柴田大知,18,武藤善則,芝,右,2000m,曇,良
11,7,ブレイキングドーン,ヴィクトワールピサ,アグネスサクラ,牡,3,0,福永祐一,13,中竹和也,芝,右,2000m,曇,良
12,5,シュヴァルツリーゼ,ハーツクライ,ソベラニア,牡,3,-10,石橋脩,7,堀宣行,芝,右,2000m,曇,良
13,2,ファンタジスト,ロードカナロア,ディープインアスク,牡,3,-4,武豊,5,梅田智之,芝,右,2000m,曇,良
14,1,サトノルークス,ディープインパクト,リッスン,牡,3,-6,池添謙一,8,池江泰寿,芝,右,2000m,曇,良
15,5,メイショウテンゲン,ディープインパクト,メイショウベルーガ,牡,3,-4,三浦皇成,9,池添兼雄,芝,右,2000m,曇,良
16,7,クリノガウディー,スクリーンヒーロー,クリノビリオネア,牡,3,-6,藤岡佑介,16,藤沢則雄,芝,右,2000m,曇,良
17,4,ニシノデイジー,ハービンジャー,ニシノヒナギク,牡,3,-10,勝浦正樹,6,高木登,芝,右,2000m,曇,良
18,3,ランスオブプラーナ,ケープブランコ,マイプラーナ,牡,3,6,松山弘平,12,本田優,芝,右,2000m,曇,良
1,7,フィエールマン,ディープインパクト,リュヌドール,牡,4,0,C.ルメール,1,手塚貴久,芝,右,3200m,晴,良
2,5,グローリーヴェイズ,ディープインパクト,メジロツボネ,牡,4,2,戸崎圭太,6,尾関知人,芝,右,3200m,晴,良
